reviewId,content,score
54e29c40-8f14-42bc-b813-6ddcb6aa3c80,"It is too good game i really loved it, if you don't have wifi don't worry canday crush provide you no wifi game,, and just relax and crush the candy 🍭",5
ee71fe33-d404-49b4-a238-8c83150ad809,Good application,5
5ef38a9a-6a2f-4698-830b-a7aa48a36b98,Candy Crush is a very gd game that truly relieves stress anytime anywhere,5
09c4bfb5-e083-4770-a123-c965f8b88646,Love candy crush,5
bea96ca0-4054-43e6-b6a0-80e4fcd91c72,It's so much fun and relaxing,5
ef0d727b-72c5-4712-a27c-3e9cd2625bd8,"Great game, 👍",4
73fa9f0f-c68f-4bd9-b3d7-fd52be7c8cf1,Gets to the point where you can't win,5
1eefa528-5daf-491a-abc8-8a30010b4896,This game amazing our my time pass this game so owner thanks game is lonch,5
5d49ec2d-0dab-4d9a-9811-80602b806c0e,Nice,5
127f878c-4ff1-402b-ada8-e37e7c8fb99c,Game kicked me out and glitches when I reopen it,2
b7492fd6-5569-4bd4-9bbf-76603bd93a87,Relaxing,5
f4497f46-1a10-4616-a3d8-9df2c1936456,Good,5
15863dff-cf87-4b66-9547-23f76bd57f72,Very nice,5
4b461bde-7f46-44fc-b669-02ddb82c5b5a,Loved,5
14823239-cc56-44ff-b52b-908d7a5517c9,It's great,5
292d5baf-6893-4677-acfd-1d635f9bfa92,So Good,5
9de1b00b-2902-49da-ad98-8e3e4fd22ef3,Good game,5
bd98d114-d0c9-4031-a38f-b044486692b3,Nice game,5
66e4bbac-4867-4544-938c-a6972dec32cb,Nice,5
94825d69-7f19-49d5-bb8d-0926dedfcd58,gooooooooood,5
de8370b4-3e64-48be-8889-57952a282293,So much fun and its addictive 😍😍😍,5
19c52410-843a-4e6d-8884-a03885810ac0,Fun!!,5
27783283-9448-4c2f-824b-6712c2d5c5d0,Good one i love it😍😘,5
309435b0-a14f-4a22-939b-96ee3c763c8a,"I encourage everyone to download this, it never get bored",4
6a103b1e-9bc8-40ea-914f-c090d914c712,aaj kal bahut lambe ad dikha rahe ho esa kya hai es tuchche se gamen ai batao,4
83182e15-d92f-4035-9d55-a56a40b5cba5,Good,5
f60b864a-51e7-4543-b32a-68ef2a1b1dfa,Good,5
fffec778-5088-4225-b9a6-d89cfcba050b,It's interesting,4
b20f6a6a-5a84-47c0-ba53-da74abb23f64,Amazing game,5
5e5e1f68-d483-417a-861c-830f04bf7710,Good,5
217f46fe-c371-4319-89ad-fc937642ca8e,Not interested game 🎯,1
caec6950-db6d-482c-8068-2320b104131e,Good,5
7a04f44d-8ef4-4bf0-99f5-792461dc832d,Good one for time killing.,4
1b0e2dbd-3e52-4a95-a269-c02538e24c2e,Its really interesting and fun,4
97b68849-367e-4cb0-9b3a-08c250f57421,Love this game it's great for passing the time,5
56041aa7-75c9-4e9d-95ad-9346770ce5b7,Good 👍,5
3ed328eb-6621-4453-b8b2-4e6959282f90,Fabulous,5
c181df64-83f1-4af4-81a0-7ca1623c68aa,Good game,5
7a07a054-9dcd-4372-9439-eba81456091c,They've added way too many things to this game. One move and the whole screen starts exploding for 5 minutes.,2
c0d5170b-16b6-42da-8041-8d6ac8dd2ccc,Best game ever,5
62f7ab55-79cb-4788-8bea-ed8ecda5b5ac,Fun and exciting,5
8ecf06f9-ffac-4894-8155-0dc5aab652ad,The best in the business.,5
34201524-2c8f-4b0e-8753-79a8375a5a1d,It besr game better than minecraft,5
b0c424ca-5380-4cd4-9847-2f7675a579db,Full fun in this game . Its 10shn free game not fighting not finding. Only fun is here,5
4f90e644-3acf-4390-86df-b0c4a7c8a83d,Good,5
8b00b35a-0a8d-41f7-b8e3-2389d41bea13,Perfect,5
3b5ede12-39f3-4b4e-ab83-1f01afe3c1de,Very good game,5
f8d9c04d-1297-48b0-94ea-6b20ab2ba7a3,I like,5
6217fb7e-5a2b-4adc-aa40-fd63f959d378,Interesting,5
d7838963-4f62-43aa-b45b-a74d3fa8f83d,NYC game great fun,5
574f0553-c685-49f0-ae8d-334441739c29,It takes away my stress. Great game!,5
59b73cc8-ceba-4a7f-b566-fe6c75443b26,Awsm,5
890d7d10-cff7-442f-aed1-ebe3669afb3f,Very entertaining,5
8c65eb7a-55ab-457f-8cfe-49a57e7406be,Super,5
358c133f-d766-4150-9917-5d5d84ea9c69,This game is very exciting to play,5
e95df390-4f76-4499-b90d-4269f05e5005,Good,5
2144bd8f-28b0-4e88-ad46-acf00fefbcf9,Very good game🎮🎮🎮🎮,5
de293efd-aaca-4dc6-bd37-22a5a068af2b,Lots of 😊,5
24e95aba-e1f2-41a9-befc-e5474bf37505,Good to play,5
f38cd69e-0b7f-4924-a053-df7659d7b236,It very excellent,5
f75e9269-aa41-4605-893c-9350511ffd81,I love it,5
30acacab-d9d3-4edf-a18f-7ad60171202f,Good,4
f8b9a8bc-a41b-4b36-b1e6-351787e17966,Wonderful,5
1a7b79de-663c-4d29-9414-669d69680ccc,Game to make time go by tbh,4
911f5ffa-8646-48ee-9889-40ad0e984ec2,How can i uninstall new updates? New updates looks good but they seems to slow down the game in my phone and actually i can not play anymore,3
9d8c5f75-775e-4fc0-b7e4-fde931ad60fd,Great this game fabulous and super special day,5
9b528409-edb4-44f1-9050-ddff3bbfdcaa,Awesome.....,5
48ec39ad-3434-4aa4-962c-b6c126eb34bc,Great,5
ba5165e1-dba1-4115-b97c-f767a89b77e0,Good,5
367a328d-1688-498c-986b-467a760c2744,This game is very good,5
24ef9d1e-8f31-4dca-9af5-90dcd3f58049,🥰🥰🥰🥰🥰,5
ce4ce56b-f4b2-4ae4-be04-048c7c677b52,Thank you,5
77d07c4d-5692-4e3f-ad7a-461bc534cb85,Nice game,3
17f62dbf-29b0-4891-83a2-2b5a40455889,I love everything about all of the Candy Crush games,5
36c5ca66-c73f-4771-944f-31d6db17fb2c,Good ap,4
5587100a-6add-446d-9456-6b128c10e3aa,Having fun ...,5
e539d610-c9f8-469f-9d32-803874f93369,I love you best gaming,5
84f6b150-b916-4f33-88fe-7ceb82bc8fdc,Very nice time pas apps,5
49774b40-a422-4d54-8b45-de55241e2c3b,Very good experince,5
a4d3ff09-477b-4327-b05d-fc57c4824f6b,Like the new challenges,5
9109d5fc-05cd-4ddb-9a74-7a0229dc23b8,Nice,5
c51d008a-1aa8-452c-8446-2843b110a1be,Ms dhoni play this game then i download love you dhoni sir,5
9d3ffa1f-20d3-4d08-b227-27891de9be75,V nice,5
36919ec7-8b1c-4716-b7b1-f547785b7916,Nice game ilove it 😍😍,5
a759d803-de08-4e76-9b82-a4c9915b8e4f,Lovely game,5
65d25a73-780c-441e-827b-60f6cb844e4b,Very good game,5
5629f4d7-ab08-4a6c-a717-909a02b080b0,Great App and Game,5
b8629dd5-3dc0-42d4-ab92-f61b66f28c04,Super game,5
0b822cb4-654a-4836-bd48-f060ee3de683,It's good,5
a7096765-1cd8-4364-9eba-74c6218a41ec,Love the challenges !!😁❤️❤️,5
6082185f-68eb-4d51-b419-6da2cfb155d9,Level 8355 complete,5
66e1fc84-0dcd-480c-a25f-7083c94b4d14,Vary good,5
f3f52a70-e9ce-42cb-99c9-eadac7932b09,Nice game,5
cf373e6f-561e-4bb5-91b8-82a778837751,It's good,5
38502fe4-0260-4830-95ac-de90b94fdb9e,It's a very nice game. My Mother makes me learn and enjoy a lot from it.,5
dde465b2-3f85-4dde-b05c-3d7de6fe837e,It keeps me calm and stress free,5
0ad647c3-8bd7-4c3e-a921-76c67d76d629,Good,5
89da7502-7b20-47cf-bed0-2cfbaf74d8e1,👍,5
ae36eb84-d5b5-49f9-9da4-10fca8699a48,Wonderful✨😍✨😍,5
db11934d-7086-49a2-b339-68569adfbd9b,The changes are making it annoying. From the Swedish fish being useless to cookies going off randomly they are making the game less fun to squeeze more money.,2
c0d4b3c1-e47d-4702-95d6-f9be8d53edec,i m on 7780 level. i hv been playing this game since long but now i have just once did the purchase and these people are so mean that they stopped giving me Advertising rewards. now thy want me to purchase everytime. this is so wrong,1
41cb2b96-a69f-4059-a230-448df7f5c59f,Wonderful,5
b479707c-e4a5-48a3-b0f1-0c3af643070d,Amazing,5
095b933d-0a29-4a5f-8158-2fb91e078439,Need short cut,5
fe6323bd-b049-450b-89fd-b003118910b6,Okw,5
108c5f7e-a553-4cc3-93b6-3d4eb5fbae78,Very slow working after 9k levels,3
b4771244-668b-41ca-9b6b-db99ae6b8a70,Good game,2
a55419d6-e5e5-4072-8268-dafd4f28fe71,"Nice game , wonderful game i love candy crush saga 💟",5
ed4af313-da28-4787-9853-b503286a7cd2,Nice,5
11fc2f0e-9e4c-4b5e-9f82-20552dc2cfeb,🤍🤍🤍🤍🤍🤍,5
6d811fc3-c703-45b1-864b-dfa319b0f7f5,Fantastic,4
25d35f18-2f7e-42b0-a6cf-88841bcf14bd,Nice game,5
bc380171-3566-496e-8523-4e773af051a2,Bad,1
fa8eedab-2205-4f99-9cb9-6fcb787c9ce0,Well done 👍👍✅,4
a4092c8d-6303-46fe-957f-445105b66120,Very nice amazing game,5
b0a3552e-654d-4b59-9aa2-20338ffc4e1b,Nice,5
423109d5-a0b1-4a00-90ec-97a82e50ee65,Good game,5
2f564916-9f8d-4a7f-9480-8a0ceefea5b1,Good,5
38ef8574-3cb5-41e5-97dc-fd7f2bf5993d,Amazing,5
2f58b4a1-aa79-4c2a-bbea-9c702665c23c,"It's gotten horrible. It's officially pay to play. After 13 years of playing, it's not an enjoyable experience anymore. 😨",1
f8399f90-e302-4d6d-ae2d-b0e6348d3d3f,It's a good game because it's strengthen to my mind 😜 awesome 😎,5
17cbd4a0-819b-47e3-ace3-cf1662290291,Good,5
074900e1-8947-4854-a26a-5ea1e341524b,Badiya game h .....,5
fc2992d4-2e92-4485-a859-b56f23f14301,Excellent,5
630c2b3c-123c-436a-b9f4-8d1ca88e3335,Good game,5
445539a9-1ac3-4f78-9edc-496fd5320f39,Super,4
645fb4d1-75ce-447c-a86d-63f824d2b728,Best,5
ad790df6-4990-42b1-8eeb-b6e6f544f8db,Great,5
b1ec5aa4-a111-42e4-b6f6-3767d24ff0fc,👍❤️❤️‍🔥,5
6fac0677-0c56-4884-a281-ac65d4c91c30,Bahut hi badhiya hai ye gem i am a good,5
8b828378-9a30-467c-ba1f-6ceb9b50687e,Excellent,5
2c763b07-d3ce-4c8a-b42f-007686ffb4f5,Levels now are super hard to get past the fish are not very helpful and not doing the job properly in this game it's time to uninstall this game now,1
8767f636-1ade-4ffa-8caf-67b67b389320,It is a very mindful game,5
839f8022-46cf-48c0-896c-e6da0553833d,Fun to play,5
eb9a2a7a-684b-4c4c-9dc2-74f9fd3bcd76,Best,5
86bef6c5-9c01-482d-be8e-ca714db84835,It's fun,5
190668c6-9c54-4814-b8c9-dd055657c95d,wow,5
6454f225-9910-4074-9ad5-ea4aa56c96ae,Very nice game 🎯🎯,5
0b671ec4-0818-470d-a59a-81f050402cce,Nice,5
d9991ae9-6c6a-4d4f-84a4-2bf3baf1bbd7,That's great but sometimes some level took time but in the last everything is fantastic 😊😊,4
7aaf9843-6e77-417b-9c4d-8850ef9f81ce,Good,1
6dbc486b-93fc-4bc0-bcbd-f39c49880c63,So 👍,5
5e4c47ac-7f5d-4d3b-84fb-58c4128602f8,Nice and relaxing,4
f463e3bc-2d34-471b-9cdb-afe8de79a57e,Nice,4
58e54b01-c6d1-4ad0-9cd5-dc214427f907,Loving this game 🫶,5
15dbd6f7-d2a3-4cd9-a991-e5cda33cb79e,Nice game but addictive if played too long 😅😅,5
69f9d12e-27b4-44c5-87c1-20f93710f432,"The support staff is no help. I did everything they suggested and the game still read ""no connection, but do not reinstall"". This is the 2nd time I have installed this game. The first time I had a similar experience. If you can create a game, then you should know how to fix it. I do not recommend it. Waste of time and money.",1
03a8728f-a4cd-4e53-88b1-acc4a9834eb3,Terrible Can't download the game. Keeps telling me there's an error,1
83d72ec5-59a6-4352-bc4e-9b6335536817,Suprb game I am always play,5
5c9cd4e2-3506-4adb-b30a-6665fb9b2502,Fantastic,5
c5499f54-f9db-4881-8bb5-388e08d1f01c,Very nice game,5
866e7a71-210a-4038-a789-6d6983e32f11,Very nice,5
ccdba3fc-b86e-49b6-b280-dfb3a2faadd5,Goodness,5
34869c35-0344-4a73-ab0f-bc1518937738,Dood games,5
f04e43ea-d1a4-41ff-bb8e-b332712d5c0b,Very fun and amazing,5
e157e0b6-e85e-443f-87c0-60a9e7ca37c8,Great,5
9a0fc391-b514-4e92-9e08-7dd5299627a0,Very good Very fun,1
13f725b7-703e-466a-93b0-6a133ec98c38,Super excited when playing this game the experience is so amazing I just can't stop playing,5
087d2f9e-cb31-4c89-a7e7-eef149587b9f,Good,5
310dc21c-a355-4b5e-a6e7-1b99b7f4d11b,Game is wonderful to play,5
ce322ca7-fe7e-47f9-8997-c0af1463c897,Love game,5
b2b7df97-568a-4d64-a831-94ba662cf636,Nice,5
dc9c23d3-28fe-45c8-b368-2857f69cf4c7,New,1
4219efd1-3444-40b7-99b6-ce22cba90804,".fun, addictive love it",5
462e68a3-0669-4094-91ba-1a786f4af68f,Good,5
89d216bb-4231-4ce2-8873-6c6761b97802,very good game make my time better and enjoy able thanku,5
90b3ae13-a025-42fa-8be0-42ffd77ebc67,Good,5
76deb4dd-5607-40ee-b3a3-a120eca447f1,"This is a very lovely game, so relaxing and fun",5
41741bb3-783d-4810-b053-e5e8cddcda3b,Love game,5
425ffdb3-b10a-4355-8a1a-c7259828f4c2,Good fun and excersices the brain,5
d35b0d48-f23b-42cd-87e5-d1ea95db5b8c,Fun,5
afba5f33-c98b-4f52-898b-5dc4837c424e,Very good,4
4f928d61-6bdb-4cf8-8a2a-b52f6caf3ac5,nice app,5
bea9d994-cee7-40e4-b589-c705676731c5,Good,5
e6090af7-5f5a-447d-86f1-771a6a91450a,Nice game,5
a1925a04-148c-447c-802d-4965c016b68b,Supar game 👍👍👍,5
11914bb2-1231-4a78-85ac-9c846e31ebb3,Very very nice game 🎯,5
e2bb3cf5-3d0c-4451-ba1d-f6975ea629ae,Super game,5
0ac7ff0a-6801-4015-9ec3-30a2bd283d54,Nice,4
68803b6e-107a-4043-b8d1-46fdfa9a669f,Has alot of fun and reward,5
23b9ad66-c7b1-43b5-933f-0ad58216b0dd,Nice,5
8eb917a5-9e94-4f98-a4cb-78f136a8add4,Good,5
e07a8159-689d-4267-9ab6-9b214c885347,Exceptional,5
8289c68c-74fe-49aa-a06c-66f079484c01,very good 👍🏻,5
8c1509e9-4a9f-405c-b6be-6c865debdda3,Great game love it,5
fd969b32-4edd-408e-ac80-234339e9e70b,Good,5
8a51ccf8-fe89-4840-8fa2-5446e8e41c31,This game is wonderful very entertaining but in this I passed 600above levels in this gold bars jackpot rewards is there that shared with others I don't want to share my rewards pls look after tat thank u,5
6e789ba9-1e64-42bf-ac40-90c1cf39e434,Best,5
cccfcfd1-00cc-4ae8-88e9-8fc5ddf40bd0,Exlent,5
09980b44-a0e4-49f2-bb02-c70aa03d9464,Best 👍 relaxing game,5
7a85beb7-affe-47a5-bc20-824c7d98d1bc,Super this game,5
01e2b964-74fe-45a6-bc8b-f2305cb027b5,We want make dolar$ by playing candy crush saga🙏❤️❤️,5
45396c82-06f0-495b-b45b-43d0237e86bf,"Very nice game I was doing 10,000 stages, but I forgot my account password and can't access the app. Can a friend tell me how to recover it?",5
753470ad-8804-4012-aee9-deac44053e73,Love this game it's super fun and exciting,5
e97cefd0-e452-4df4-8aff-28bd3c194b5d,Good,5
c7ff81ac-99cc-411e-902a-3266ba541004,"Did anyone even read and action this? I have been playing this game for 10years now and i totally love it but recently, it has become very annoying. Firstly the hard levels are just too hard(hard, super hard and night marishly hard) for the love of God, for a game that doesn't have an end in sight, can you take down the hard levels? Or better still give us the option of more moves. I am currently on level 5,298 and i have only 15 moves to crack that level. King, please fix this issue.",1
73944295-1298-49e3-8bc9-ac29fbeae3bc,Good,5
9215774d-0bba-4c0e-ac21-ae8525114d7d,My favourite GAME..love the challenge of each levels...now I gotta buy a second fone just for the GAME 🫶,5
9ea0a544-9b03-42da-9355-63c125c7d617,Good❤️❤️♥️,3
c19ed1f6-27d5-426c-bdd2-2b946934b840,The game is good and am enjoying playing the game,5
3dc2977f-269f-42b9-9301-2c241caaa4dd,Nice,5
bc8e9fbe-9a48-4f3a-aa0f-4899b5a706fd,Life time is so much and so many adds do not download,1
beb75c47-f9ea-490e-bce5-284cff11d4e7,Good game,5
6f0d95fd-d797-464b-94f9-dbc1618ce314,Uninstalled. THE GAME CHEATS TO GET YOUR MONEY!,1
79691ab1-14e5-49dd-a630-8a13669902b7,Fabulous game,5
0ad2f5ed-cd54-4947-ab35-5390b5a836b3,I really love this game ❤️😍❣️,5
44fbc5a1-d383-498d-8800-f6a6e18f0ab9,Very quick to get through the levels,4
7554cc73-36e8-4834-b9f3-462c5e591364,Amazing,5
4ddf59a7-0356-4d10-9029-db9f44c2dd5a,Epic,4
1a4f5b26-eed0-473a-8667-a9443cb25a53,Best game ever it has interesting levels,5
3eaf9c5d-b9f8-4f57-9303-f193bfd95639,Good,5
ac88a7a7-84d7-4289-b398-58d5a0c55d4a,Great addictive game but you never get the items you win on spin the wheel.. Pay for lives and don't get them ..,3
9566c4ae-d91c-43cb-8f72-7ff85301a4c4,Bohat acha game hai unke liye jinke pas kam dhandha nahi hai,5
6cc6c5e6-d4ce-4502-95ca-dad8c99913d4,awesome,5
11f576e0-42f9-4e9f-a274-7520d8c8b5a6,Supeb,5
41d5ae8b-b357-4c5a-ac40-f03b3ea8f28d,Great game... Little to no ads,5
3319b932-6339-42a7-af53-d68a271c872c,Good game and honestly it helps me sleep,5
2989bd86-e41b-4e69-8166-e18056b381fa,Faulty game glitch chocolate box not able to remove,1
8f7ce375-d597-47ab-83eb-5f215b55a927,Beautiful 😍❤️,5
92650c79-78d0-4a5b-9ff5-b9398619fc34,Interesting game 🎮🎯,4
d8e6ce8d-b967-4482-b65f-dcef30776b03,Good games,5
bc982a2a-4a33-46b9-b4fe-7ef76bb4dfda,Nice,4
297f3f2f-40c7-41d2-97a8-c19e5bfa8217,It so good to play the this game,5
befb25e8-0078-4d62-ad40-59ea037cb675,Okay game,5
e7f65377-9cd3-40cd-b627-932cc8fbb3ec,Kick AAS,5
097514f5-6a63-4044-a05d-bf8eeb33e583,Great game❤️,5
5d4fe9b5-0e49-484d-885a-9f879c77c9fc,Papular,5
99996928-ac3f-4df0-ab2c-c186e37bfc07,Best,5
ec8193b0-0770-407e-970f-6d5c011c924f,Super,5
444edc6d-abe5-423d-8c27-b33252049186,Great stress relief after working OT in nursing home!,5
d2317fdf-fdee-475c-9352-1b8429fe2866,Nice game,4
2c76654b-c69f-4c3f-ba67-2b5dcd7feacd,Loved it,4
4b25612c-f27a-4058-b91f-fb845793bc88,A WONDERFUL GAME,5
ad0325bd-06bb-4f75-a1a6-9b80bc661e0e,"This game is fun until it literally forces you to spend actual money to beat certain levels. My fiance has been sick on the same level for 5 days. It's ridiculous and sad and fowl. You guys haven't even given her the ability to watch ads to help her beat the level because you just want money. If she is stuck any longer, I'll uninstall and we will go play something elsewhere.",1
2e39570d-f5aa-46ef-bfa0-0b1379da28cb,I always get addicted to this game.,5
abf3333a-2bd1-4256-9c9d-67d368b1f8f1,Amazeballs,5
1a227f52-7408-41b4-b37a-4fc3bf0d345f,Some levels are near impossible to win if you dont have extras or put money in,3
e1531626-30fd-46ff-9ec2-9f7ace343dcb,Super,5
ede9e0e2-d644-4a81-a8be-28536dc112ac,Not good any more.looks like they have knowingly reduced the minimum required number if move.it has become irritating.,1
d1625dbf-072a-45e9-9a6d-a03a44fc57ba,Nice game❤️,5
e2efb775-a1e7-4e11-816b-2ea29ec2a420,Fun,5
ebcff19d-656f-4556-b8a4-fbb3297bd384,"Having great fun with this and never stop playing.Nice graphic and easy to play.Great game!Enjoyed this game very much.l love the graphic and very less ads,compared to others I really love this game.Definitely having great fun with this game.Awesome game!Never stop playing.Super cool game to play.Definitely having fun with this game!",5
1e2776c7-7f21-44ae-9e90-3ee20d800408,Nice game,5
7093a7f9-7406-4dc3-acc3-b00cbc3a5984,It's the best relax game ever,5
f86f9700-80f3-4468-a822-0e0af4ece6fb,Fun,5
754247cf-9a90-4afb-9fda-bab9043aac41,"Ga bisa beli sesuatu menggunakan balok emas. Edit GA BISA BELI SESUATU, PADAHAL PUNYA BALOK EMAS.",2
663051d1-0127-4c18-b622-529abba47c7f,Good intetesting,5
4bc6ef39-a763-4d7a-a2b6-0bcf747b41b2,Nice game,5
c302e7d9-4ae8-402d-a18f-063b40226842,Love it,5
67b1b7a2-8653-4239-b647-ed48e108fd0e,It's an awesome game I also highly recommend this game to my friend and family as well totally awesome,5
961d72a5-9e29-4205-b3ff-7f240db4acd0,So goooooood,5
e3c28280-d7c2-4a48-9a2c-2de61848a665,Very interesting,5
d683c20d-52f4-4137-80af-99cc033ef089,absolutely awesome 👍,5
92b381cd-73dc-4eec-9763-18e356c4be45,Incredible,5
57166444-cd0c-44dd-b2fe-f1027344c1e5,Sometimes it's not toughness but impossibilities created,3
5c3fc1dd-b307-4d7a-af19-3f1c805cf566,Good,5
09e5f301-b498-44a9-8466-07c5e40ead86,Increíble,5
